iter	Passed	Remaining
0	1	114
1	1	95
2	2	88
3	3	81
4	4	79
5	5	78
6	5	78
7	6	76
8	7	75
9	8	74
10	9	73
11	9	72
12	10	71
13	11	69
14	12	68
15	12	67
16	13	66
17	14	65
18	15	64
19	15	63
20	16	63
21	17	62
22	18	62
23	19	61
24	20	61
25	21	60
26	22	59
27	22	58
28	23	57
29	24	56
30	25	55
31	25	54
32	26	54
33	27	53
34	28	52
35	29	51
36	30	51
37	31	51
38	32	50
39	33	49
40	34	48
41	34	47
42	35	46
43	36	46
44	37	45
45	38	44
46	39	44
47	40	43
48	40	42
49	41	41
50	42	41
51	43	40
52	44	39
53	45	38
54	46	37
55	46	36
56	47	36
57	48	35
58	49	34
59	50	33
60	51	32
61	52	32
62	53	31
63	54	30
64	55	29
65	55	28
66	56	28
67	57	27
68	58	26
69	59	25
70	60	24
71	61	24
72	62	23
73	63	22
74	64	21
75	65	20
76	66	19
77	67	19
78	68	18
79	69	17
80	70	16
81	70	15
82	71	14
83	72	13
84	73	13
85	74	12
86	75	11
87	76	10
88	77	9
89	78	8
90	78	7
91	79	6
92	80	6
93	81	5
94	82	4
95	83	3
96	84	2
97	85	1
98	86	0
99	87	0
